,t,x,y,x0,y0,vx,vy,r,theta,angle,omega,alpha
377,12.57923333,0.5216400783,0.04982397705,0.4865172949,0.8463893,0.035122783400000024,-0.79656532295,0.7973392776228957,-0.04406424345429496,-2.524695177368065,-0.18964143346497894,0.7804303967269118
378,12.6126,0.5264466893,0.05084189302,0.4865172062,0.8463941770000001,0.03992948310000005,-0.7955522839800001,0.7965537019978175,-0.05014881530145488,-2.873315464354448,-0.1823547823969156,0.21838112907470425
379,12.64596667,0.5303721392,0.05177101749,0.4865182004,0.8463881433,0.04385393880000005,-0.79461712581,0.7958263281513245,-0.05513283709229177,-3.158878877970636,-0.1493712675204617,0.9885168306113379
380,12.67933333,0.5335779092,0.05195361761,0.486521748,0.8463859761,0.04705616120000006,-0.7944323584899999,0.795824763702955,-0.059163306191367254,-3.3898077468055567,-0.12079330382709666,0.856482599497962
381,12.7127,0.5360078051,0.05208812,0.48651763130000003,0.8463742653,0.04949017379999998,-0.7942861453000001,0.7958264621877605,-0.062227294762252826,-3.56536136039362,-0.09182782012366289,0.8680963279654282
382,12.74606667,0.5381157661,0.0522781904,0.4865157732,0.8463756929999999,0.0515999929,-0.7940975025999999,0.7957722054098377,-0.06488819343886015,-3.717819624275166,-0.07974720511838215,0.3620563575951967
383,12.77943333,0.5388640028,0.052124068679999996,0.48652271490000004,0.8463743328,0.05234128789999998,-0.79425026412,0.7959730475799545,-0.06580509581946638,-3.770354260909401,-0.027479597316789044,1.5664620852549347
384,12.8128,0.5391560304999999,0.05202759506,0.4865171832,0.8463696445000001,0.05263884729999996,-0.7943420494400001,0.7960842541801793,-0.06617048401989671,-3.791289462677939,-0.010950694223617127,0.4953716715864116
385,12.84616667,0.5387257845000001,0.051919090109999996,0.4865163561,0.8463643437999999,0.05220942840000009,-0.79444525369,0.7961589574478347,-0.06562372983104965,-3.7599627552259043,0.016386237788998385,0.8192885898597156
386,12.87953333,0.5382158679,0.051855093399999996,0.4865151151,0.8463619521,0.05170075279999997,-0.7945068586999999,0.7961872369998331,-0.06498114156180892,-3.7231451594337943,0.019258393535365907,0.08607861099575553
387,12.9129,0.5361056069,0.05165639278,0.4865147097,0.8463593101000001,0.049590897199999984,-0.7947029173200001,0.7962486947443116,-0.06232099738308632,-3.570730125096694,0.07972459279641934,1.8121736229911811
388,12.94626667,0.5337462263,0.05126040316,0.4865137211,0.8463637099,0.0472325052,-0.79510330674,0.79650497671788,-0.05933450800852105,-3.3996168883734392,0.08950516711932342,0.2931240762984208
389,12.97963333,0.5302515043,0.050528812410000006,0.4865133115,0.8463625316,0.04373819280000002,-0.79583371919,0.7970347157490681,-0.054903724859538025,-3.1457517139990276,0.13279073029733782,1.2972698849094824
390,13.013,0.5265614781,0.04942891669,0.48650703869999995,0.846363842,0.04005443940000003,-0.79693492531,0.7979408708009031,-0.05021835734789504,-2.8772999301141713,0.1404205907165162,0.22866712258605645
391,13.04636667,0.5220746058,0.04904978617,0.4865126405,0.8463587872,0.0355619653,-0.79730900103,0.7981016830576508,-0.044572946312902754,-2.5538417041925316,0.16919312100944953,0.8623135090476148
392,13.07973333,0.5169260339,0.04797432393,0.48651221079999996,0.8463614664,0.03041382310000007,-0.79838714247,0.7989662257548626,-0.038075668452072615,-2.1815751044431773,0.19472365111851334,0.7651509053966886
393,13.1131,0.5119032343,0.04711130024,0.4865113925,0.8463669795000001,0.02539184179999998,-0.7992556792600001,0.799658918826871,-0.03175867877028279,-1.819638256448931,0.18932035117049215,-0.16193704520173194
394,13.14646667,0.5061434571,0.04633428669,0.4865042439,0.8463730926,0.01963921319999995,-0.8000388059100001,0.8002798195987537,-0.024542896725958448,-1.4062043994228652,0.21625718252148227,0.8072975622376791
395,13.17983333,0.49967901119999997,0.045339347249999995,0.4865062414,0.8463698020999999,0.013172769799999984,-0.8010304548499999,0.8011387591805814,-0.01644329809435476,-0.942131582082037,0.24274526223493795,0.7938487014719706
396,13.2132,0.4935329001,0.044646021030000003,0.4865068461,0.8463740351000001,0.007026054000000004,-0.80172801407,0.8017588003754229,-0.008763413545298434,-0.5021066102733781,0.23016634710793835,-0.37699042568524593
397,13.24656667,0.4870389285,0.04420058048,0.4865049183,0.8463705223000001,0.0005340102000000457,-0.8021699418200001,0.8021701195671627,-0.0006657069696521449,-0.03814219975351148,0.24268848451602792,0.37528879591789566
398,13.27993333,0.48116967159999996,0.04396687199,0.4864991422,0.8463720712,-0.0053294706000000525,-0.80240519921,0.8024228978388616,0.006641771811135434,0.3805454932670213,0.219005401822882,-0.7097828399110254
399,13.3133,0.4743330464,0.04306942413,0.48650142350000003,0.8463715243000001,-0.012168377100000016,-0.80330210017,0.8033942578452876,0.015146787871973969,0.8678470182440499,0.25489556077482906,1.0756290319635613
400,13.34666667,0.4685263511,0.042594284169999996,0.48649758719999997,0.8463747023,-0.017971236099999954,-0.80378041813,0.8039812969815899,0.02235466552798741,1.2808279871802688,0.21602028779058718,-1.1650929800379382
401,13.38003333,0.46272760020000003,0.042281427170000004,0.4864948762,0.8463732801999999,-0.02376727599999995,-0.8040918530299999,0.8044430318659483,0.02954930826624483,1.6930506511868646,0.21562370157088925,-0.01188570326481361
402,13.4134,0.4576505845,0.042230495269999994,0.4864960334,0.8463748034,-0.028845448900000015,-0.80414430813,0.8046614991536,0.03585561207476191,2.0543752437421703,0.1890000952602454,-0.7979101993289793
403,13.44676667,0.4529194521,0.04215380546,0.4864968218,0.8463912604,-0.03357736969999997,-0.80423745494,0.8049380868640389,0.04172633367401158,2.3907428140754696,0.17594568469821684,-0.391241036700038
404,13.48013333,0.44843600479999995,0.0420569217,0.4864957646,0.8463949948,-0.03805975980000004,-0.8043380731,0.8052380276379492,0.04728284518036459,2.7091074722053765,0.16652884964672016,-0.28222288510438437
405,13.5135,0.4451808517,0.04208679551,0.4865005538,0.8463921926000001,-0.04131970210000002,-0.80430539709,0.8053660593604224,0.05132802710927665,2.940879324094627,0.12123421153240366,-1.3574815261551358
406,13.54686667,0.4421344241,0.04201567705,0.4865012261,0.8463715141,-0.04436680200000004,-0.80435583705,0.8055785037574633,0.05510234115246072,3.157131589326032,0.11311629369020422,-0.24329421671984536
407,13.58023333,0.4391855661,0.042130502410000006,0.4865056365,0.8463787015,-0.047320070400000025,-0.80424819909,0.8056390971161772,0.058769890076410834,3.36726666382612,0.10991657312868802,-0.09589574028434839
