,t,f,e,s
701,7.01,5245.744793377621,0.0016571289060000002,286775893.6183054
702,7.02,5266.650128497379,0.0016235595699999998,287918752.52519065
703,7.03,5283.0757413231,0.001663232422,288816712.67801225
704,7.04,5289.0486954853795,0.0016479736330000001,289143243.8637442
705,7.05,5293.528408882979,0.001705957031,289388142.13145494
706,7.06,5303.981071994639,0.0016540771480000002,289959571.341721
707,7.07,5339.81878362366,0.001675439453,291918757.7265833
708,7.08,5312.940503238061,0.001663232422,290449368.1203191
709,7.09,5351.7646875,0.001660180664,292571819.85487074
710,7.1,5359.23087797874,0.001684594727,292979983.7154474
711,7.11,5357.737637214061,0.0016906982420000001,292898350.79742616
712,7.12,5374.163254488,0.001678491211,293796311.1934243
713,7.13,5386.10915836434,0.0017120605469999998,294449373.32171166
714,7.14,5415.9739158310795,0.001678491211,296082028.52084184
715,7.15,5407.01448903588,0.001702905273,295592231.98542047
716,7.16,5420.4536336769,0.0016906982420000001,296326927.03172916
717,7.17,5453.3048637765605,0.0017303710940000001,298122847.5805488
718,7.18,5436.879246502621,0.001715112305,297224887.18455076
719,7.19,5412.98744319816,0.0017212158199999999,295918763.1711525
720,7.2,5441.35896434844,0.0017120605469999998,297469785.69543797
721,7.21,5451.811627460101,0.0017303710940000001,298041214.90570414
722,7.22,5478.68991229392,0.001724267578,299510604.75514495
723,7.23,5468.23724473404,0.001736474609,298939175.30170226
724,7.24,5507.061428995979,0.0017608886719999999,301061627.0362538
725,7.25,5551.8585674201995,0.00179140625,303510609.9565375
726,7.26,5541.40590430854,0.0017608886719999999,302939180.7462714
727,7.27,5563.80447129654,0.0017608886719999999,304163672.0848249
728,7.28,5545.88561770614,0.001757836914,303184079.01398206
729,7.29,5574.25713885642,0.001776147461,304735101.5382676
730,7.3,5608.60160972076,0.001782250977,306612655.00510854
731,7.31,5587.696279049221,0.0017791992190000002,305469796.3413998
732,7.32,5586.20303828454,0.001806665039,305388163.4233784
733,7.33,5604.12189632316,0.001782250977,306367756.73739785
734,7.34,5635.4798901063605,0.0017944580079999998,308082044.6113728
735,7.35,5617.56103651596,0.0017669921870000001,307102451.54052997
736,7.36,5642.9460805851,0.0018677001949999998,308490208.4719495
737,7.37,5699.68912288566,0.0017883544920000002,311592253.52052057
738,7.38,5660.8649341755,0.001806665039,309469801.5427923
739,7.39,5656.3852207779,0.0018036132809999999,309224903.27508163
740,7.4,5665.344647573101,0.001831079102,309714699.81050307
741,7.41,5693.71616872338,0.0018677001949999998,311265722.33478856
742,7.42,5711.635026762,0.001828027344,312245315.64880794
743,7.43,5713.12826307846,0.0018127685550000001,312326948.3236526
744,7.44,5729.5538803524,0.0018493896480000001,313224908.71965075
745,7.45,5738.5133071476,0.0017395263670000002,313714705.2550722
746,7.46,5772.857778011939,0.001873803711,315592258.7219131
747,7.47,5760.911874135601,0.0017791992190000002,314939196.5936257
748,7.48,5771.36454169548,0.001828027344,315510626.04706836
749,7.49,5795.25634944816,0.0018615966800000002,316816750.3036432
750,7.5,5799.73606284576,0.001824975586,317061648.5713539
751,7.51,5814.66843935502,0.0018585449219999997,317877976.0493308
752,7.52,5837.06701079124,0.001876855469,319102467.6310609
753,7.53,5825.121106914899,0.0018982177730000002,318449405.5027734
754,7.54,5850.50615098404,0.0018890625,319837162.43419296
755,7.55,5853.49262806518,0.0018951660160000001,320000428.02705896
756,7.56,5871.41148165558,0.0019195800780000003,320980021.0979018
757,7.57,5868.425004574439,0.001876855469,320816755.50503576
758,7.58,5866.9317682579795,0.001928735352,320735122.8301911
759,7.59,5911.7289066821995,0.0019165283199999998,323184105.7504747
760,7.6,5916.2086200798,0.0018615966800000002,323429004.01818544
761,7.61,5907.249193284601,0.001892114258,322939207.48276407
762,7.62,5950.5530909441395,0.001910424805,325306557.48502636
763,7.63,5941.59366414894,0.001904321289,324816760.9496049
764,7.64,5968.47194453454,0.001953149414,326286150.5558692
765,7.65,5956.5260451064205,0.001962304687,325633088.6707584
766,7.66,5983.404325492021,0.001947045898,327102478.27702266
767,7.67,5993.8569930519,0.00195925293,327673907.7304653
768,7.68,5974.444898696821,0.0019348388670000001,326612681.7416012
769,7.69,5995.3502293683605,0.0019439941410000002,327755540.40531003
770,7.7,6007.2961332447,0.0019409423829999997,328408602.53359747
771,7.71,6019.24203712104,0.001965356445,329061664.66188484
772,7.72,6064.03917109704,0.001968408203,331510647.3389919
773,7.73,6070.012125259321,0.001968408203,331837178.52472395
774,7.74,6099.87688272606,0.001965356445,333469833.7238541
775,7.75,6072.99860234046,0.001983666992,332000444.1175899
776,7.76,6090.91745593086,0.002001977539,332980037.18843275
777,7.77,6093.903933012,0.0019928222660000002,333143302.78129876
778,7.78,6096.89040564492,0.001971459961,333306568.1309881
779,7.79,6105.849832440121,0.0019958740230000003,333796364.66640955
780,7.8,6141.687544069139,0.002020288086,335755551.05127174
781,7.81,6164.0861110571395,0.00201418457,336980042.3898253
782,7.82,6131.23488095748,0.002005029297,335184121.8410056
783,7.83,6170.0590652194205,0.002026391602,337306573.5755573
784,7.84,6176.032014933479,0.001998925781,337633104.51811266
785,7.85,6176.032014933479,0.00201418457,337633104.51811266
786,7.86,6195.444109288561,0.0019806152339999997,338694330.50697684
787,7.87,6205.89677684844,0.002050805664,339265759.96041954
788,7.88,6232.77505723404,0.002011132812,340735149.56668377
789,7.89,6256.666864986721,0.0019775634769999997,342041273.8232586
790,7.9,6261.1465783843205,0.002023339844,342286172.0909693
791,7.91,6243.22772479392,0.002059960937,341306579.02012646
792,7.92,6250.69391082444,0.002041650391,341714742.6375266
793,7.93,6271.599241495979,0.0020721679690000002,342857601.3012354
794,7.94,6295.49104924866,0.0020660644529999998,344163725.5578102
795,7.95,6308.93018944146,0.0020752197270000002,344898420.36094236
796,7.96,6310.4234302061395,0.002084375,344980053.27896357
797,7.97,6337.30171059174,0.002102685547,346449442.88522786
798,7.98,6320.8760933178,0.00205690918,345551482.48922974
799,7.99,6335.80847427528,0.002114892578,346367810.2103831
800,8.0,6365.673231742021,0.0020874267579999994,348000465.4095134
801,8.01,6398.5244662898995,0.0020630126949999997,349796386.2015096
802,8.02,6374.632658537221,0.0020904785160000003,348490261.94493484
803,8.03,6376.1258993019,0.0021087890620000004,348571894.8629561
804,8.04,6395.53798920876,0.0021301513670000005,349633120.60864365
805,8.05,6405.990656768639,0.0021301513670000005,350204550.0620863
806,8.06,6403.0041796875,0.002120996094,350041284.46922034
807,8.07,6458.25398122338,0.002160668945,353061696.59977007
808,8.08,6447.80131811172,0.002114892578,352490267.38950396
809,8.09,6467.21340801858,0.0021423583979999997,353551493.13519144
810,8.1,6509.024073809879,0.0021362548829999997,355837210.70578563
811,8.11,6474.6795984973205,0.002139306641,353959656.9957682
812,8.12,6470.199885099721,0.0021545654300000002,353714758.7280575
813,8.13,6498.57140625,0.002169824219,355265781.252343
814,8.14,6504.544355964061,0.0021362548829999997,355592312.1948985
